Outcome,Message,Identity,Delay,IPOPerformances Symbol,IPOPerformances Name,IPOPerformances OfferPrice,IPOPerformances OfferDate,IPOPerformances TradeDate,IPOPerformances Currency,IPOPerformances ClosePrice,IPOPerformances ClosePriceDate,IPOPerformances PercentChange
Success,,Request,63.6632563,YI,111,14,9/11/2018,9/12/2018,USD,7.4,4/11/2019,-47.14
Success,,Request,63.6632563,PIH,1347 Property Insurance Holdings,8,3/31/2014,4/1/2014,USD,5.34,4/11/2019,-33.25
Success,,Request,63.6632563,TWOU,2U,13,3/27/2014,3/28/2014,USD,65.51,4/11/2019,403.92
Success,,Request,63.6632563,QFIN,360 Finance,16.5,12/13/2018,12/14/2018,USD,17.25,4/11/2019,4.55
Success,,Request,63.6632563,WBAI,500.com,13,11/21/2013,11/22/2013,USD,13.695,4/11/2019,5.35
Success,,Request,63.6632563,WUBA,58.com,17,10/30/2013,10/31/2013,USD,67.31,4/11/2019,295.94
Success,,Request,63.6632563,JFKKU,8i Enterprises Acquisition,10,3/27/2019,3/28/2019,USD,10.0452,4/11/2019,0.45
Success,,Request,63.6632563,ATEN,A10 Networks,15,3/20/2014,3/21/2014,USD,6.82,4/11/2019,-54.53
Success,,Request,63.6632563,ABY,Abengoa Yield,29,6/12/2014,6/13/2014,USD,20.05,4/11/2019,-30.86
Success,,Request,63.6632563,ACIU,AC Immune,11,9/22/2016,9/23/2016,USD,4.92,4/11/2019,-55.27
Success,,Request,63.6632563,ACIA,Acacia Communications,23,5/12/2016,5/13/2016,USD,59.22,4/11/2019,157.48
Success,,Request,63.6632563,ACAMU,Acamar Partners Acquisition,10,2/21/2019,2/22/2019,USD,10.006,4/11/2019,0.06
Success,,Request,63.6632563,XLRN,Acceleron Pharma,15,9/18/2013,9/19/2013,USD,43.42,4/11/2019,189.47
Success,,Request,63.6632563,AKAO,Achaogen,12,3/11/2014,3/12/2014,USD,0.486,4/11/2019,-95.95
Success,,Request,63.6632563,ACRS,Aclaris Therapeutics,11,10/6/2015,10/7/2015,USD,6.11,4/11/2019,-44.45
Success,,Request,63.6632563,ACMR,ACM Research,5.6,11/2/2017,11/3/2017,USD,15.39,4/11/2019,174.82
Success,,Request,63.6632563,AQ,Acquity Group,6,4/26/2012,4/27/2012,USD,9.44,4/11/2019,57.33
Success,,Request,63.6632563,GOLF,Acushnet Holdings,17,10/27/2016,10/28/2016,USD,23.44,4/11/2019,37.88
Success,,Request,63.6632563,ADMS,Adamas Pharmaceuticals,16,4/9/2014,4/10/2014,USD,6.63,4/11/2019,-58.56
Success,,Request,63.6632563,ADAP,Adaptimmune Therapeutics,17,5/5/2015,5/6/2015,USD,4.38,4/11/2019,-74.24
Success,,Request,63.6632563,IOTS,Adesto Technologies,5,10/26/2015,10/27/2015,USD,6.23,4/11/2019,24.6
Success,,Request,63.6632563,ADIL,Adial Pharmaceuticals,5,7/26/2018,7/27/2018,USD,2.9,4/11/2019,-42
Success,,Request,63.6632563,ADT,ADT,14,1/18/2018,1/19/2018,USD,6.66,4/11/2019,-52.43
Success,,Request,63.6632563,ADRO,Aduro Biotech,17,4/14/2015,4/15/2015,USD,3.77,4/11/2019,-77.82
Success,,Request,63.6632563,ADSW,Advanced Disposal Services,18,10/5/2016,10/6/2016,USD,26.83,4/11/2019,49.06
Success,,Request,63.6632563,WMS,Advanced Drainage Systems,16,7/24/2014,7/25/2014,USD,27.54,4/11/2019,72.12
Success,,Request,63.6632563,AGLE,Aeglea BioTherapeutics,10,4/6/2016,4/7/2016,USD,7.3,4/11/2019,-27
Success,,Request,63.6632563,AERI,Aerie Pharmaceuticals,10,10/24/2013,10/25/2013,USD,44.31,4/11/2019,343.1
Success,,Request,63.6632563,HIVE,Aerohive Networks,10,3/27/2014,3/28/2014,USD,4.17,4/11/2019,-58.3
Success,,Request,63.6632563,AFMD,Affimed Therapeutics,7,9/11/2014,9/12/2014,USD,4.14,4/11/2019,-40.86
Success,,Request,63.6632563,AGRX,Agile Therapeutics,6,5/22/2014,5/23/2014,USD,1.48,4/11/2019,-75.33
Success,,Request,63.6632563,AGIO,Agios Pharmaceuticals,18,7/23/2013,7/24/2013,USD,61.93,4/11/2019,244.06
Success,,Request,63.6632563,ALRN,Aileron Therapeutics,15,6/28/2017,6/29/2017,USD,1.73,4/11/2019,-88.47
Success,,Request,63.6632563,AIMT,Aimmune Therapeutics,16,8/5/2015,8/6/2015,USD,21.94,4/11/2019,37.12
Success,,Request,63.6632563,AIRG,Airgain,8,8/11/2016,8/12/2016,USD,15.74,4/11/2019,96.75
Success,,Request,63.6632563,AKCA,Akcea Therapeutics,8,7/13/2017,7/14/2017,USD,29.78,4/11/2019,272.25
Success,,Request,63.6632563,AKBA,Akebia Therapeutics,17,3/19/2014,3/20/2014,USD,7.57,4/11/2019,-55.47
Success,,Request,63.6632563,ALRM,Alarm.com Holdings,14,6/25/2015,6/26/2015,USD,67.97,4/11/2019,385.5
Success,,Request,63.6632563,ALACU,Alberton Acquisition,10,10/23/2018,10/24/2018,USD,10.23,4/11/2019,2.3
Success,,Request,63.6632563,ADHD,Alcobra,8,5/21/2013,5/22/2013,USD,7.76,4/11/2019,-3
Success,,Request,63.6632563,ALDR,Alder BioPharmaceuticals,10,5/7/2014,5/8/2014,USD,12.6,4/11/2019,26
Success,,Request,63.6632563,ALDX,Aldeyra Therapeutics,8,5/1/2014,5/2/2014,USD,8.32,4/11/2019,4
Success,,Request,63.6632563,ALEC,Alector,19,2/6/2019,2/7/2019,USD,24.4,4/11/2019,28.42
Success,,Request,63.6632563,BABA,Alibaba Group Holding,68,9/18/2014,9/19/2014,USD,184.98,4/11/2019,172.03
Success,,Request,63.6632563,ALLK,Allakos,18,7/18/2018,7/19/2018,USD,38.95,4/11/2019,116.39
Success,,Request,63.6632563,ABTX,Allegiance Bancshares,21,10/7/2015,10/8/2015,USD,36.28,4/11/2019,72.76
Success,,Request,63.6632563,ALGRU,Allegro Merger,10,7/2/2018,7/3/2018,USD,10.48,4/11/2019,4.8
Success,,Request,63.6632563,ALNA,Allena Pharmaceuticals,14,11/1/2017,11/2/2017,USD,6.42,4/11/2019,-54.14
Success,,Request,63.6632563,ALSN,Allison Transmission Holdings,23,3/14/2012,3/15/2012,USD,47.06,4/11/2019,104.61
Success,,Request,63.6632563,ALLO,Allogene Therapeutics,18,10/10/2018,10/11/2018,USD,26.6,4/11/2019,47.78
Success,,Request,63.6632563,ALLY,Ally Financial,25,4/9/2014,4/10/2014,USD,28.98,4/11/2019,15.92
Success,,Request,63.6632563,ALTR,Altair Engineering,13,10/31/2017,11/1/2017,USD,36.6,4/11/2019,181.54
Success,,Request,63.6632563,AYX,Alteryx,14,3/23/2017,3/24/2017,USD,81.79,4/11/2019,484.21
Success,,Request,63.6632563,ATUS,Altice USA,30,6/21/2017,6/22/2017,USD,22.93,4/11/2019,-23.57
Success,,Request,63.6632563,AMAL,Amalgamated Bank,15.5,8/8/2018,8/9/2018,USD,16.07,4/11/2019,3.68
Success,,Request,63.6632563,AMBA,Ambarella,6,10/9/2012,10/10/2012,USD,46.54,4/11/2019,675.67
Success,,Request,63.6632563,AMBR,Amber Road,13,3/20/2014,3/21/2014,USD,9.01,4/11/2019,-30.69
Success,,Request,63.6632563,AMBO,Ambow Education Holding,4.25,5/31/2018,6/1/2018,USD,6.17,4/11/2019,45.18
Success,,Request,63.6632563,AMC,AMC Entertainment,18,12/17/2013,12/18/2013,USD,16.12,4/11/2019,-10.44
Success,,Request,63.6632563,AMCIU,AMCI Acquisition,10,11/15/2018,11/16/2018,USD,10.14,4/11/2019,1.4
Success,,Request,63.6632563,AMDA,Amedica,5.75,2/12/2014,2/13/2014,USD,0.29,4/11/2019,-94.96
Success,,Request,63.6632563,AMRH,AMERI Holdings,4.12,11/17/2017,11/17/2017,USD,0.3548,4/11/2019,-91.39
Success,,Request,63.6632563,AAC,American Addiction Centers,15,10/1/2014,10/2/2014,USD,2,4/11/2019,-86.67
Success,,Request,63.6632563,AMH,American Homes 4 Rent,16,7/31/2013,8/1/2013,USD,23.3,4/11/2019,45.62
Success,,Request,63.6632563,ARA,American Renal Associates Holdings,22,4/20/2016,4/21/2016,USD,6.58,4/11/2019,-70.09
Success,,Request,63.6632563,AREC,American Resources,4,2/14/2019,2/15/2019,USD,4,4/11/2019,0
Success,,Request,63.6632563,COLD,Americold Realty Trust,16,1/18/2018,1/19/2018,USD,31.1,4/11/2019,94.38
Success,,Request,63.6632563,ANFI,Amira Nature Foods,10,10/9/2012,10/10/2012,USD,1.49,4/11/2019,-85.1
Success,,Request,63.6632563,AMPH,Amphastar Pharmaceuticals,7,6/24/2014,6/25/2014,USD,20.97,4/11/2019,199.57
Success,,Request,63.6632563,PLAN,Anaplan,17,10/11/2018,10/12/2018,USD,35.55,4/11/2019,109.12
Success,,Request,63.6632563,ANAB,AnaptysBio,15,1/25/2017,1/26/2017,USD,80.01,4/11/2019,433.4
Success,,Request,63.6632563,ANCN,Anchiano Therapeutics,11.5,2/12/2019,2/12/2019,USD,6.36,4/11/2019,-44.7
Success,,Request,63.6632563,ANDAU,Andina Acquisition Corp II,10,11/24/2015,11/25/2015,USD,10.21,4/11/2019,2.1
Success,,Request,63.6632563,ANDAU,Andina Acquisition Corp.,10,3/16/2012,3/19/2012,USD,10.21,4/11/2019,2.1
Success,,Request,63.6632563,ANDAU,Andina Acquisition III,10,1/28/2019,1/29/2019,USD,10.21,4/11/2019,2.1
Success,,Request,63.6632563,AMGP,Antero Midstream GP LP,23.5,5/3/2017,5/4/2017,USD,12.54,4/11/2019,-46.64
Success,,Request,63.6632563,AM,Antero Midstream Partners LP,25,11/4/2014,11/5/2014,USD,14.03,4/11/2019,-43.88
Success,,Request,63.6632563,AR,Antero Resources,44,10/9/2013,10/10/2013,USD,8.33,4/11/2019,-81.07
Success,,Request,63.6632563,APLS,Apellis Pharmaceuticals,14,11/8/2017,11/9/2017,USD,19.3,4/11/2019,37.86
Success,,Request,63.6632563,APPF,AppFolio,12,6/25/2015,6/26/2015,USD,82.45,4/11/2019,587.08
Success,,Request,63.6632563,APPN,Appian,12,5/24/2017,5/25/2017,USD,32.32,4/11/2019,169.33
Success,,Request,63.6632563,AGTC,Applied Genetic Technologies,12,3/26/2014,3/27/2014,USD,4.61,4/11/2019,-61.58
Success,,Request,63.6632563,AAOI,Applied Optoelectronics,10,9/25/2013,9/26/2013,USD,12.37,4/11/2019,23.7
Success,,Request,63.6632563,APTI,Apptio,16,9/22/2016,9/23/2016,USD,37.97,4/11/2019,137.31
Success,,Request,63.6632563,APTX,Aptinyx,16,6/20/2018,6/21/2018,USD,3.86,4/11/2019,-75.88
Success,,Request,63.6632563,AQMS,Aqua Metals,5,7/30/2015,7/31/2015,USD,2.94,4/11/2019,-41.2
Success,,Request,63.6632563,AQ,Aquantia,9,11/2/2017,11/3/2017,USD,9.44,4/11/2019,4.89
Success,,Request,63.6632563,WAAS,AquaVenture Holdings,18,10/5/2016,10/6/2016,USD,19.04,4/11/2019,5.78
Success,,Request,63.6632563,AQST,Aquestive Therapeutics,15,7/24/2018,7/25/2018,USD,6.18,4/11/2019,-58.8
Success,,Request,63.6632563,AQXP,Aquinox Pharmaceuticals,11,3/6/2014,3/7/2014,USD,2.61,4/11/2019,-76.27
Success,,Request,63.6632563,ARMK,ARAMARK Holdings,20,12/11/2013,12/12/2013,USD,30.97,4/11/2019,54.85
Success,,Request,63.6632563,PETX,Aratana Therapeutics,6,6/26/2013,6/27/2013,USD,3.82,4/11/2019,-36.33
Success,,Request,63.6632563,RKDA,Arcadia Biosciences,8,5/14/2015,5/15/2015,USD,6.5,4/11/2019,-18.75
Success,,Request,63.6632563,FUV,Arcimoto,6.5,9/20/2017,9/21/2017,USD,4.49,4/11/2019,-30.92
Success,,Request,63.6632563,ARCE,Arco Platform,17.5,9/25/2018,9/26/2018,USD,32.4,4/11/2019,85.14
Success,,Request,63.6632563,RCUS,Arcus Biosciences,15,3/14/2018,3/15/2018,USD,13.04,4/11/2019,-13.07
Success,,Request,63.6632563,ARD,Ardagh Group,19,3/14/2017,3/15/2017,USD,13.8,4/11/2019,-27.37
Success,,Request,63.6632563,ARDX,Ardelyx,14,6/18/2014,6/19/2014,USD,3.65,4/11/2019,-73.93
Success,,Request,63.6632563,ASC,Ardmore Shipping,14,7/31/2013,8/1/2013,USD,6.83,4/11/2019,-51.21
Success,,Request,63.6632563,ACRE,Ares Commercial Real Estate,18.5,4/25/2012,4/26/2012,USD,15.45,4/11/2019,-16.49
Success,,Request,63.6632563,ARES,"Ares Management, LP",19,5/1/2014,5/2/2014,USD,23.63,4/11/2019,24.37
Success,,Request,63.6632563,ARGX,argenx,17,5/17/2017,5/18/2017,USD,126.41,4/11/2019,643.59
Success,,Request,63.6632563,ARGS,Argos Therapeutics,8,2/6/2014,2/7/2014,USD,0.08,4/11/2019,-99
Success,,Request,63.6632563,ARDS,Aridis Pharmaceuticals ,13,8/13/2018,8/14/2018,USD,10.1,4/11/2019,-22.31
Success,,Request,63.6632563,ANET,Arista Networks,43,6/5/2014,6/6/2014,USD,322.23,4/11/2019,649.37
Success,,Request,63.6632563,ARLO,Arlo Technologies,16,8/2/2018,8/3/2018,USD,4.01,4/11/2019,-74.94
Success,,Request,63.6632563,AHH,Armada Hoffler Properties,11.5,5/7/2013,5/8/2013,USD,15.7,4/11/2019,36.52
Success,,Request,63.6632563,ASNS,Arsanis,10,11/15/2017,11/16/2017,USD,3.11,4/11/2019,-68.9
Success,,Request,63.6632563,APAM,Artisan Partners Asset Management,30,3/6/2013,3/7/2013,USD,27.56,4/11/2019,-8.13
Success,,Request,63.6632563,ARVN,Arvinas Holding,16,9/26/2018,9/27/2018,USD,20.06,4/11/2019,25.37
Success,,Request,63.6632563,ARYAU,ARYA Sciences Acquisition,10,10/4/2018,10/5/2018,USD,10.48,4/11/2019,4.8
Success,,Request,63.6632563,ASND,Ascendis Pharma,18,1/27/2015,1/28/2015,USD,116.21,4/11/2019,545.61
Success,,Request,63.6632563,ASLN,ASLAN Pharmaceuticals,7.03,5/4/2018,5/4/2018,USD,4.3,4/11/2019,-38.83
Success,,Request,63.6632563,ASPN,Aspen Aerogels,11,6/12/2014,6/13/2014,USD,2.97,4/11/2019,-73
Success,,Request,63.6632563,ASV,ASV Holdings,7,5/11/2017,5/12/2017,USD,2.4201,4/11/2019,-65.43
Success,,Request,63.6632563,HOME,At Home Group,15,8/3/2016,8/4/2016,USD,21.57,4/11/2019,43.8
Success,,Request,63.6632563,ATRA,Atara Biotherapeutics,11,10/15/2014,10/16/2014,USD,36.15,4/11/2019,228.64
Success,,Request,63.6632563,ATTO,Atento,15,10/1/2014,10/2/2014,USD,3.67,4/11/2019,-75.53
Success,,Request,63.6632563,ATH,Athene Holding,40,12/8/2016,12/9/2016,USD,42.89,4/11/2019,7.22
Success,,Request,63.6632563,ATNX,Athenex,11,6/13/2017,6/14/2017,USD,11.99,4/11/2019,9
Success,,Request,63.6632563,ATKR,Atkore International Group,16,6/9/2016,6/10/2016,USD,22.94,4/11/2019,43.38
Success,,Request,63.6632563,TEAM,Atlassian,21,12/9/2015,12/10/2015,USD,114.44,4/11/2019,444.95
Success,,Request,63.6632563,ATMR,atomera,7.5,8/4/2016,8/5/2016,USD,2.98,4/11/2019,-60.27
Success,,Request,63.6632563,ATOS,Atossa Genetics,5,11/7/2012,11/8/2012,USD,3.04,4/11/2019,-39.2
Success,,Request,63.6632563,LIFE,aTyr Pharma,14,5/6/2015,5/7/2015,USD,0.54,4/11/2019,-96.14
Success,,Request,63.6632563,BOLD,Audentes Therapeutics,15,7/19/2016,7/20/2016,USD,40.74,4/11/2019,171.6
Success,,Request,63.6632563,EARS,Auris Medical,6,8/5/2014,8/6/2014,USD,0.335,4/11/2019,-94.42
Success,,Request,63.6632563,JG,Aurora Mobile,8.5,7/25/2018,7/26/2018,USD,8.97,4/11/2019,5.53
Success,,Request,63.6632563,ATHM,Autohome,17,12/10/2013,12/11/2013,USD,105.68,4/11/2019,521.65
Success,,Request,63.6632563,AUTL,Autolus Therapeutics,17,6/21/2018,6/22/2018,USD,25.65,4/11/2019,50.88
Success,,Request,63.6632563,AVLR,Avalara,24,6/14/2018,6/15/2018,USD,55.8,4/11/2019,132.5
Success,,Request,63.6632563,AVDR,Avedro,14,2/13/2019,2/14/2019,USD,12.67,4/11/2019,-9.5
Success,,Request,63.6632563,ATXI,Avenue Therapeutics,6,6/26/2017,6/27/2017,USD,4.82,4/11/2019,-19.67
Success,,Request,63.6632563,AVH,Avianca Holdings,15,11/5/2013,11/6/2013,USD,4.23,4/11/2019,-71.8
Success,,Request,63.6632563,AVGR,Avinger,13,1/29/2015,1/30/2015,USD,0.715,4/11/2019,-94.5
Success,,Request,63.6632563,AHPAU,Avista Healthcare Public Acquisition,10,10/10/2016,10/11/2016,USD,10.36,4/11/2019,3.6
Success,,Request,63.6632563,AVRO,AVROBIO,19,6/20/2018,6/21/2018,USD,21.95,4/11/2019,15.53
Success,,Request,63.6632563,EQH,AXA Equitable Holdings,20,5/9/2018,5/10/2018,USD,21.86,4/11/2019,9.3
Success,,Request,63.6632563,AXTA,Axalta Coating Systems,19.5,11/11/2014,11/12/2014,USD,26.99,4/11/2019,38.41
Success,,Request,63.6632563,AXNX,Axonics Modulation Technologies,15,10/30/2018,10/31/2018,USD,20.87,4/11/2019,39.13
Success,,Request,63.6632563,AXON,Axovant Sciences,15,6/10/2015,6/11/2015,USD,1.07,4/11/2019,-92.87
Success,,Request,63.6632563,AXSM,Axsome Therapeutics,9,11/19/2015,11/19/2015,USD,13.89,4/11/2019,54.33
Success,,Request,63.6632563,AZUL,AZUL,20.06,4/10/2017,4/11/2017,USD,27.1,4/11/2019,35.09
Success,,Request,63.6632563,AZRE,Azure Power Global,18,10/11/2016,10/12/2016,USD,11.9,4/11/2019,-33.89
Success,,Request,63.6632563,AZRX,AzurRX Biopharma,5.5,10/12/2016,10/12/2016,USD,2.55,4/11/2019,-53.64
Success,,Request,63.6632563,BRPM.U,B. Riley Principal Merger,10,4/8/2019,4/9/2019,USD,10,4/11/2019,0
Success,,Request,63.6632563,BAND,Bandwidth,20,11/9/2017,11/10/2017,USD,71.64,4/11/2019,258.2
Success,,Request,63.6632563,BSVN,Bank7,19,9/19/2018,9/20/2018,USD,16.85,4/11/2019,-11.32
Success,,Request,63.6632563,BWFG,Bankwell Financial Group,18,5/14/2014,5/15/2014,USD,29.89,4/11/2019,66.06
Success,,Request,63.6632563,BZUN,Baozun,10,5/20/2015,5/21/2015,USD,41.86,4/11/2019,318.6
Success,,Request,63.6632563,BHACU,Barington/Hilco Acquisition,10,2/5/2015,2/6/2015,USD,10.5,4/11/2019,5
Success,,Request,63.6632563,BATS,BATS Global Markets,19,4/14/2016,4/15/2016,USD,35.13,4/11/2019,84.89
Success,,Request,63.6632563,BCML,BayCom,22,5/3/2018,5/4/2018,USD,22.74,4/11/2019,3.36
Success,,Request,63.6632563,BV,Bazaarvoice,12,2/23/2012,2/24/2012,USD,14.84,4/11/2019,23.67
Success,,Request,63.6632563,BGNE,BeiGene,24,2/2/2016,2/3/2016,USD,138.79,4/11/2019,478.29
Success,,Request,63.6632563,BLPH,Bellerophon Therapeutics,12,2/13/2015,2/13/2015,USD,0.66,4/11/2019,-94.5
Success,,Request,63.6632563,BLCM,Bellicum Pharmaceuticals,19,12/17/2014,12/18/2014,USD,3.62,4/11/2019,-80.95
Success,,Request,63.6632563,BNFT,Benefitfocus,26.5,9/17/2013,9/18/2013,USD,42.18,4/11/2019,59.17
Success,,Request,63.6632563,BNTC,Benitec Biopharma,9.21,8/18/2015,8/18/2015,USD,2.15,4/11/2019,-76.66
Success,,Request,63.6632563,BRY,Berry Petroleum,14,7/25/2018,7/26/2018,USD,12.81,4/11/2019,-8.5
Success,,Request,63.6632563,BERY,Berry Plastics Group,16,10/3/2012,10/4/2012,USD,57.62,4/11/2019,260.12
Success,,Request,63.6632563,BSTI,Best,10,9/19/2017,9/20/2017,USD,5.27,4/11/2019,-47.3
Success,,Request,63.6632563,BYSI,BeyondSpring,20,3/8/2017,3/9/2017,USD,16.17,4/11/2019,-19.15
Success,,Request,63.6632563,BRPAU,Big Rock Partners Acquisition,10,11/20/2017,11/20/2017,USD,10.5036,4/11/2019,5.04
Success,,Request,63.6632563,BILI,Bilibili,11.5,3/27/2018,3/28/2018,USD,17.47,4/11/2019,51.91
Success,,Request,63.6632563,ORPN,Bio Blast Pharma,11,7/30/2014,7/31/2014,USD,8.32,4/11/2019,-24.36
Success,,Request,63.6632563,BIOC,Biocept,10,2/4/2014,2/5/2014,USD,1.05,4/11/2019,-89.5
Success,,Request,63.6632563,BFRA,Biofrontera,9.88,2/13/2018,2/14/2018,USD,14.445,4/11/2019,46.2
Success,,Request,63.6632563,BHVN,Biohaven Pharmaceuticals Holding,17,5/3/2017,5/4/2017,USD,48.55,4/11/2019,185.59
Success,,Request,63.6632563,BNGOU,Bionano Genomics,6.13,8/20/2018,8/21/2018,USD,7.5525,2/12/2019,23.21
Success,,Request,63.6632563,BPMX,BioPharmX,2.75,6/24/2015,6/25/2015,USD,0.0895,4/11/2019,-96.75
Success,,Request,63.6632563,BTAI,BioXcel Therapeutics,11,3/7/2018,3/8/2018,USD,10.16,4/11/2019,-7.64
Success,,Request,63.6632563,BCACU,Bison Capital Acquisition,10,6/19/2017,6/20/2017,USD,10.7027,4/11/2019,7.03
Success,,Request,63.6632563,BJ,BJ's Wholesale Club,17,6/27/2018,6/28/2018,USD,28.56,4/11/2019,68
Success,,Request,63.6632563,BRACU,Black Ridge Acquisition,10,10/4/2017,10/5/2017,USD,10.61,4/11/2019,6.1
Success,,Request,63.6632563,BSM,Black Stone Minerals LP,19,4/30/2015,5/1/2015,USD,17.58,4/11/2019,-7.47
Success,,Request,63.6632563,BL,BlackLine,17,10/27/2016,10/28/2016,USD,47.44,4/11/2019,179.06
Success,,Request,63.6632563,BE,Bloom Energy,15,7/24/2018,7/25/2018,USD,12.51,4/11/2019,-16.6
Success,,Request,63.6632563,BLMN,Bloomin' Brands,11,8/7/2012,8/8/2012,USD,19.31,4/11/2019,75.55
Success,,Request,63.6632563,APRN,Blue Apron Holdings,10,6/28/2017,6/29/2017,USD,1.09,4/11/2019,-89.1
Success,,Request,63.6632563,BCRH,Blue Capital Reinsurance Holdings,20,11/5/2013,11/6/2013,USD,7.1,4/11/2019,-64.5
Success,,Request,63.6632563,BLUE,bluebird bio,17,6/18/2013,6/19/2013,USD,153.98,4/11/2019,805.76
Success,,Request,63.6632563,BXG,Bluegreen Vacations,14,11/16/2017,11/17/2017,USD,15.37,4/11/2019,9.79
Success,,Request,63.6632563,BPMC,Blueprint Medicines,18,4/29/2015,4/30/2015,USD,82.86,4/11/2019,360.33
Success,,Request,63.6632563,BRG,Bluerock Residential Growth REIT,14.5,3/27/2014,3/28/2014,USD,11.07,4/11/2019,-23.66
Success,,Request,63.6632563,BCC,Boise Cascade Company,21,2/5/2013,2/6/2013,USD,27.12,4/11/2019,29.14
Success,,Request,63.6632563,BOJA,Bojangles',19,5/7/2015,5/8/2015,USD,16.09,4/11/2019,-15.32
Success,,Request,63.6632563,BOOT,Boot Barn Holdings,16,10/29/2014,10/30/2014,USD,29.39,4/11/2019,83.69
Success,,Request,63.6632563,BOMN,Boston Omaha Corporation,13,6/15/2017,6/16/2017,USD,24.87,4/11/2019,91.31
Success,,Request,63.6632563,BOX,Box,14,1/22/2015,1/23/2015,USD,19.74,4/11/2019,41
Success,,Request,63.6632563,BWMCU,Boxwood Merger,10,11/15/2018,11/16/2018,USD,10.04,4/11/2019,0.4
Success,,Request,63.6632563,BPMP,BP Midstream Partners LP,18,10/25/2017,10/26/2017,USD,15.25,4/11/2019,-15.28
Success,,Request,63.6632563,BWB,Bridgewater Bancshares,11.75,3/13/2018,3/14/2018,USD,10.27,4/11/2019,-12.6
Success,,Request,63.6632563,BFAM,Bright Horizons Family Solutions,22,1/24/2013,1/25/2013,USD,128.2,4/11/2019,482.73
Success,,Request,63.6632563,BEDU,Bright Scholar Education Holdings,10.5,5/17/2017,5/18/2017,USD,10.75,4/11/2019,2.38
Success,,Request,63.6632563,BCOV,Brightcove,11,2/16/2012,2/17/2012,USD,8.62,4/11/2019,-21.64
Success,,Request,63.6632563,BV,BrightView Holdings,22,6/27/2018,6/28/2018,USD,14.84,4/11/2019,-32.55
Success,,Request,63.6632563,BRX,Brixmor Property Group,20,10/29/2013,10/30/2013,USD,18.15,4/11/2019,-9.25
Success,,Request,63.6632563,BURL,Burlington Stores,17,10/1/2013,10/2/2013,USD,157.27,4/11/2019,825.12
Success,,Request,63.6632563,BY,Byline Bancorp,19,6/29/2017,6/30/2017,USD,18.9,4/11/2019,-0.53
Success,,Request,63.6632563,WHD,Cactus,19,2/7/2018,2/8/2018,USD,37.4,4/11/2019,96.84
Success,,Request,63.6632563,CADE,Cadence Bancorporation,20,4/12/2017,4/13/2017,USD,20.08,4/11/2019,0.4
Success,,Request,63.6632563,CZR,Caesars Entertainment,9,2/7/2012,2/8/2012,USD,9.4,4/11/2019,4.44
Success,,Request,63.6632563,CSTE,Caesarstone Sdot-Yam,11,3/21/2012,3/22/2012,USD,15.18,4/11/2019,38
Success,,Request,63.6632563,PRSS,CafePress,19,3/28/2012,3/29/2012,USD,1.47,4/11/2019,-92.26
Success,,Request,63.6632563,CALA,Calithera Biosciences,10,10/1/2014,10/2/2014,USD,6.47,4/11/2019,-35.3
Success,,Request,63.6632563,CLXT,Calyxt,8,7/19/2017,7/20/2017,USD,16.49,4/11/2019,106.12
Success,,Request,63.6632563,CWH,Camping World Holdings,22,10/6/2016,10/7/2016,USD,14.98,4/11/2019,-31.91
Success,,Request,63.6632563,GOOS,Canada Goose Holdings,12.63,3/15/2017,3/16/2017,USD,49.43,4/11/2019,291.37
Success,,Request,63.6632563,CGIX,Cancer Genetics,10,4/4/2013,4/5/2013,USD,0.266,4/11/2019,-97.34
Success,,Request,63.6632563,CANG,Cango,11,7/25/2018,7/26/2018,USD,7.161,4/11/2019,-34.9
Success,,Request,63.6632563,CBNK,Capital Bancorp,12.5,9/25/2018,9/26/2018,USD,11.43,4/11/2019,-8.56
Success,,Request,63.6632563,CIC.U,Capitol Investment Corp. IV,10,8/15/2017,8/16/2017,USD,10.7,4/11/2019,7
Success,,Request,63.6632563,CSTR,CapStar Financial Holdings,15,9/21/2016,9/22/2016,USD,15.63,4/11/2019,4.2
Success,,Request,63.6632563,CARA,Cara Therapeutics,11,1/30/2014,1/31/2014,USD,19.47,4/11/2019,77
Success,,Request,63.6632563,CBLK,Carbon Black,19,5/3/2018,5/4/2018,USD,13.27,4/11/2019,-30.16
Success,,Request,63.6632563,CDLX,Cardlytics,13,2/8/2018,2/9/2018,USD,15.7,4/11/2019,20.77
Success,,Request,63.6632563,CRCM,Care.com,17,1/23/2014,1/24/2014,USD,16.22,4/11/2019,-4.59
Success,,Request,63.6632563,CDNA,CareDx,10,7/16/2014,7/17/2014,USD,30.84,4/11/2019,208.4
Success,,Request,63.6632563,CARG,CarGurus,16,10/11/2017,10/12/2017,USD,39.8,4/11/2019,148.75
Success,,Request,63.6632563,CVNA,Carvana,15,4/27/2017,4/28/2017,USD,63.55,4/11/2019,323.67
Success,,Request,63.6632563,CASA,Casa Systems,13,12/14/2017,12/15/2017,USD,8.89,4/11/2019,-31.62
Success,,Request,63.6632563,CSLT,Castlight Health,16,3/13/2014,3/14/2014,USD,3.92,4/11/2019,-75.5
Success,,Request,63.6632563,CATB,Catabasis Pharmaceuticals,12,6/24/2015,6/25/2015,USD,8.99,4/11/2019,-25.08
Success,,Request,63.6632563,CTLT,Catalent,20.5,7/30/2014,7/31/2014,USD,39.48,4/11/2019,92.59
